,0,1
971,other,other
972,other,other
973,other,other
974,other,other
975,other,other
976,other,other
977,other,other
978,other,other
979,other,other
980,other,other
981,other,other
982,other,other
983,other,other
984,other,other
985,other,other
986,other,other
987,other,other
988,other,other
989,other,other
990,other,other
991,other,other
992,other,other
993,other,other
994,other,other
995,other,other
996,other,other
997,other,other
998,other,other
999,other,other
1000,other,other
1001,other,other
1002,other,other
1003,other,other
1004,other,other
1005,other,other
1006,other,other
1007,other,other
1008,other,other
1009,other,other
1010,other,other
1011,other,other
1012,other,other
1013,other,other
1014,other,other
1015,other,other
1016,other,other
1017,other,other
1018,other,other
1019,other,other
1020,other,other
1021,other,other
1022,other,other
1023,other,other
1024,other,other
1025,other,other
1026,other,other
1027,other,other
1028,other,other
1029,other,other
1030,other,other
1031,other,other
1032,other,other
1033,other,other
1034,other,other
1035,other,other
1036,other,other
1037,other,other
1038,other,other
1039,other,other
1040,other,other
1041,other,other
1042,other,other
1043,other,other
1044,other,other
1045,other,other
1046,other,other
1047,other,other
1048,other,other
1049,other,other
1050,other,other
1051,other,other
1052,other,other
1053,other,other
1054,other,other
1055,other,other
1056,other,other
1057,other,other
1058,other,other
1059,other,other
1060,other,other
1061,other,other
1062,other,other
1063,other,other
1064,other,other
1065,other,other
1066,other,other
1067,other,other
1068,other,other
1069,other,other
1070,other,other
1071,other,other
1072,other,other
1073,other,other
1074,other,other
1075,other,other
1076,other,other
1077,other,other
1078,other,other
1079,other,other
1080,other,other
1081,other,other
1082,other,other
1083,other,other
1084,other,other
1085,other,other
1086,other,other
1087,other,other
1088,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1089,other,other
1090,other,other
1091,other,other
1092,other,other
1093,other,other
1094,other,other
1095,other,other
1096,other,other
1097,other,other
1098,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1099,other,other
1100,other,other
1101,other,other
1102,other,other
1103,other,other
1104,other,other
1105,other,other
1106,other,other
1107,other,other
1108,other,other
1109,other,other
1110,other,other
1111,other,other
1112,other,other
1113,other,other
1114,other,other
1115,other,other
1116,other,other
1117,other,other
1118,other,other
1119,other,other
1120,other,other
1121,other,other
1122,other,other
1123,other,other
1124,other,other
1125,other,other
1126,other,other
1127,other,other
1128,other,other
1129,other,other
1130,other,other
1131,other,other
1132,other,other
1133,other,other
1134,other,other
1135,other,other
1136,other,other
1137,other,other
1138,other,other
1139,other,other
1140,other,other
1141,other,other
1142,other,other
1143,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1144,other,other
1145,other,other
1146,other,other
1147,other,other
1148,other,other
1149,other,other
1150,other,other
1151,other,other
1152,other,other
1153,other,other
1154,other,other
1155,other,other
1156,other,other
1157,other,other
1158,other,other
1159,other,other
1160,other,other
1161,other,other
1162,other,other
1163,other,other
1164,other,other
1165,other,other
1166,other,other
1167,other,other
1168,other,other
1169,other,other
1170,other,other
1171,other,other
1172,other,other
1173,other,other
1174,other,other
1175,other,other
1176,other,other
1177,other,other
1178,other,other
1179,other,other
1180,other,other
1181,other,other
1182,other,other
1183,other,other
1184,other,other
1185,other,other
1186,other,other
1187,other,other
1188,other,other
1189,other,other
1190,other,other
1191,other,other
1192,other,other
1193,other,other
1194,other,other
1195,other,other
