,Symbol,GeneID,Name,Species,# PPI ,Type
,Dnmt3a,13435,DNA methyltransferase 3A,mouse,5,TF
,Dnmt3b,13436,DNA methyltransferase 3B,mouse,5,TF
,Dnmt3l,54427,DNA (cytosine-5-)-methyltransferase 3-like,mouse,3,TF
,Dpf1,29861,"D4, zinc and double PHD fingers family 1",mouse,0,TF
,Dpf2,19708,"D4, zinc and double PHD fingers family 2",mouse,0,TF
,Dpf3,70127,"D4, zinc and double PHD fingers, family 3",mouse,0,TF
,Dr1,13486,down-regulator of transcription 1,mouse,1,TF
,Drap1,66556,Dr1 associated protein 1 (negative cofactor 2 alpha),mouse,0,TF
,E2f1,13555,E2F transcription factor 1,mouse,3,TF
,E2f2,242705,E2F transcription factor 2,mouse,0,TF
,E2f3,13557,E2F transcription factor 3,mouse,1,TF
,E2f4,104394,E2F transcription factor 4,mouse,2,TF
,E2f5,13559,E2F transcription factor 5,mouse,0,TF
,E2f6,50496,E2F transcription factor 6,mouse,1,TF
,E2f7,52679,E2F transcription factor 7,mouse,0,TF
,E2f8,108961,E2F transcription factor 8,mouse,0,TF
,E4f1,13560,E4F transcription factor 1,mouse,1,TF
,Ebf1,13591,early B cell factor 1,mouse,0,TF
,Ebf2,13592,early B cell factor 2,mouse,0,TF
,Ebf3,13593,early B cell factor 3,mouse,0,TF
,Ebf4,228598,early B cell factor 4,mouse,0,TF
,Egr1,13653,early growth response 1,mouse,3,TF
,Egr2,13654,early growth response 2,mouse,4,TF
,Egr3,13655,early growth response 3,mouse,0,TF
,Egr4,13656,early growth response 4,mouse,0,TF
,Ehf,13661,ets homologous factor,mouse,0,TF
,Elf1,13709,E74-like factor 1,mouse,0,TF
,Elf2,69257,E74-like factor 2,mouse,0,TF
,Elf3,13710,E74-like factor 3,mouse,0,TF
,Elf4,56501,E74-like factor 4 (ets domain transcription factor),mouse,0,TF
,Elf5,13711,E74-like factor 5,mouse,11,TF
,Elk1,13712,"ELK1, member of ETS oncogene family",mouse,2,TF
,Elk3,13713,"ELK3, member of ETS oncogene family",mouse,0,TF
,Elk4,13714,"ELK4, member of ETS oncogene family",mouse,0,TF
,Elmsan1,238317,ELM2 and Myb/SANT-like domain containing 1,mouse,0,TF
,Emx1,13796,empty spiracles homeobox 1,mouse,1,TF
,Emx2,13797,empty spiracles homeobox 2,mouse,1,TF
,En1,13798,engrailed 1,mouse,0,TF
,En2,13799,engrailed 2,mouse,0,TF
,Eno1,13806,"enolase 1, alpha non-neuron",mouse,3,TF
,Eomes,13813,eomesodermin,mouse,0,TF
,Epas1,13819,endothelial PAS domain protein 1,mouse,1,TF
