Symbol1,GeneID1,Type1,Symbol1,GeneID1,Type1,Species,PMID,Source,Experiment,Interaction_type,DB
Arnt,11863,TF,Sim2,20465,TF,mouse,9020169,EBI-78918,0915:physical association,0018:two hybrid,intact
Arnt2,11864,TF,Hif1a,15251,TF,mouse,10873592,EBI-945412,0914:association,0413:electrophoretic mobility shift assay,intact
Arntl,11865,TF,Clock,12753,TF,mouse,14701732,252600,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Clock,12753,TF,mouse,16606840,860882,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Clock,12753,TF,mouse,16717091,477881,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Clock,12753,TF,mouse,16717091,477887,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Clock,12753,TF,mouse,17347670,EBI-7314822,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,17347670,EBI-7314869,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662546,1026683,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Clock,12753,TF,mouse,18662546,EBI-1802646,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662546,EBI-1802654,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662546,EBI-1802662,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662546,EBI-1802674,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662546,EBI-1802684,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662546,EBI-1802692,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662547,EBI-1809174,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,18662547,EBI-1809181,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931499,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931507,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931513,0914:association,0006:anti bait coimmunoprecipitation,intact
