"","Gene"
"3913","Dnajc14"
"3916","Dnajc16"
"3917","Dnajc17"
"3918","Dnajc18"
"3923","Dnajc24"
"3926","Dnajc27"
"3929","Dnajc3"
"3930","Dnajc30"
"3931","Dnajc4"
"3932","Dnajc4"
"3935","Dnajc5"
"3938","Dnajc7"
"3939","Dnajc8"
"3941","Dnajc9"
"3942","Dnal1"
"3949","Dnlz"
"3961","Dnmt1"
"3966","Dnpep"
"3967","Dnpep"
"3968","Dnpep"
"3978","Dnttip1"
"3979","Dnttip2"
"3999","Dolk"
"4001","Dot1l"
"4002","Dpagt1"
"4008","Dph3"
"4009","Dph5"
"4011","Dph7"
"4013","Dpm2"
"4014","Dpm2"
"4019","Dpp3"
"4023","Dpp8"
"4025","Dpp9"
"4031","Dpy30"
"4036","Dr1"
"4046","Drg1"
"4047","Drg2"
"4048","Drosha"
"4064","Dtd2"
"4074","Dtx3"
"4075","Dtx3"
"4080","Dtymk"
"4081","Dtymk"
"4087","Dus3l"
"4091","Dusp11"
"4114","Dym"
"4115","Dync1h1"
"4116","Dync1i2"
"4117","Dync1i2"
"4120","Dync1li1"
"4129","Dynlrb1"
"4148","E2f3"
"4149","E2f4"
"4155","E4f1"
"4158","Eaf1"
"4159","Eapp"
"4160","Eapp"
"4161","Eapp"
"4169","Ebag9"
"4174","Ebna1bp2"
"4177","Ecd"
"4186","Eci2"
"4187","Eci2"
"4205","Edc3"
"4206","Edc4"
"4207","Edc4"
"4212","Edem3"
"4217","Edrf1"
"4219","Eed"
"4221","Eef1akmt1"
"4224","Eef1d"
"4225","Eef1d"
"4226","Eef1d"
"4242","Eef1e1"
"4247","Eef2kmt"
"4249","Eefsec"
"4262","Efr3a"
"4277","Egln2"
"4293","Ehmt2"
"4294","Ehmt2"
"4299","Ei24"
"4303","Eid2b"
"4306","Eif1a"
"4308","Eif1ad"
"4309","Eif1ax"
"4310","Eif1b"
"4312","Eif2ak1"
"4314","Eif2ak3"
"4316","Eif2b1"
"4317","Eif2b2"
"4321","Eif2b5"
"4322","Eif2d"
"4323","Eif2d"
"4326","Eif2s1"
"4327","Eif2s2"
"4328","Eif2s2"
"4329","Eif3a"
"4330","Eif3b"
"4331","Eif3b"
"4332","Eif3c"
"4333","Eif3d"
"4334","Eif3e"
"4336","Eif3g"
"4338","Eif3i"
"4340","Eif3k"
"4342","Eif3l"
"4343","Eif3m"
"4344","Eif4a1"
"4346","Eif4a2"
"4348","Eif4a3"
"4349","Eif4b"
"4350","Eif4e"
"4351","Eif4e"
"4356","Eif4e2"
"4357","Eif4e2"
"4358","Eif4e2"
"4359","Eif4e2"
"4375","Eif4enif1"
"4382","Eif4g2"
"4383","Eif4g2"
"4390","Eif4h"
"4391","Eif4h"
"4394","Eif5"
"4397","Eif5a"
"4398","Eif5a"
"4399","Eif5a"
"4415","Eif5b"
"4416","Eif6"
